id,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
ID12178,0.88,0.76,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12179,0.24,0.17,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12180,0.82,0.51,0.67,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
ID12181,0.65,0.29,1.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
ID12182,0.24,0.39,1.00,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
ID12183,0.22,0.13,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12184,0.35,0.20,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12185,0.90,0.33,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
ID12186,0.37,0.46,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12187,0.14,0.18,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12188,0.98,0.30,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12189,0.24,0.19,0.00,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
ID12190,0.73,0.45,0.67,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12191,0.39,0.34,0.33,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
ID12192,0.20,0.35,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
ID12193,0.71,0.51,0.00,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12194,0.88,0.65,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12195,0.88,0.62,0.00,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12196,0.00,0.09,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12197,0.08,0.05,0.33,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
ID12198,0.33,0.44,0.67,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12199,0.35,0.12,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
ID12200,0.00,0.18,0.00,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12201,0.73,0.37,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12202,0.18,0.11,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12203,0.49,0.18,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
ID12204,0.51,0.48,0.00,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12205,0.94,0.51,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12206,0.51,0.47,1.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12207,0.63,0.72,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12208,0.10,0.14,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12209,0.10,0.13,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12210,0.24,0.33,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12211,0.37,0.56,0.67,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
ID12212,0.33,0.35,1.00,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
ID12213,0.67,0.55,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12214,0.37,0.49,0.67,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
ID12215,0.78,0.66,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12216,0.73,0.74,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12217,0.78,0.29,0.67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
ID12218,0.16,0.09,1.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12219,0.43,0.21,0.00,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
ID12220,0.94,0.70,1.00,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12221,0.57,0.42,0.67,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
ID12222,0.90,0.86,0.33,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12223,0.37,0.27,0.33,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
ID12224,0.35,0.48,0.33,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12225,0.59,0.69,1.00,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
ID12226,0.59,0.58,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12227,0.39,0.35,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12228,0.61,0.65,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12229,0.47,0.16,1.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12230,0.18,0.28,0.00,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12231,0.51,0.31,0.67,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
ID12232,0.88,0.63,1.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12233,0.69,0.20,0.67,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
ID12234,0.94,0.54,0.00,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12235,0.98,0.94,0.67,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12236,0.71,0.45,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
ID12237,0.04,0.16,0.67,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
ID12238,0.80,0.59,0.00,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12239,0.96,0.64,0.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12240,0.94,0.86,0.33,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12241,0.69,0.55,1.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12242,0.59,0.31,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12243,0.20,0.21,0.33,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
ID12244,0.94,0.76,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
ID12245,0.14,0.24,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12246,0.82,0.79,0.00,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
ID12247,0.33,0.26,0.67,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
ID12248,0.04,0.24,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
ID12249,0.92,0.36,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12250,0.24,0.40,1.00,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12251,0.71,0.40,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12252,0.51,0.54,0.67,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
ID12253,0.92,0.85,0.67,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
ID12254,0.31,0.34,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12255,0.47,0.32,0.67,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0
ID12256,0.04,0.05,0.67,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12257,0.65,0.37,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12258,0.12,0.27,0.67,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12259,0.86,0.28,0.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12260,0.53,0.18,0.33,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12261,0.10,0.24,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12262,0.45,0.14,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
ID12263,0.63,0.27,1.00,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
ID12264,0.06,0.04,0.33,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
ID12265,0.45,0.34,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
ID12266,0.16,0.33,0.33,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
ID12267,0.04,0.08,0.33,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12268,0.12,0.06,0.33,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
ID12269,0.39,0.37,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
ID12270,0.78,0.50,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12271,0.69,0.76,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12272,0.08,0.25,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12273,0.35,0.33,1.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12274,0.33,0.38,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12275,1.00,0.63,0.67,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12276,0.82,0.88,0.00,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12277,0.45,0.56,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12278,0.47,0.43,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12279,0.51,0.18,0.00,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
ID12280,0.92,0.53,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12281,0.08,0.22,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12282,0.86,0.89,0.00,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12283,0.96,0.56,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12284,0.61,0.23,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12285,0.41,0.42,0.00,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
ID12286,0.63,0.48,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12287,0.04,0.23,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
ID12288,0.61,0.51,0.33,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12289,0.41,0.51,0.67,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
ID12290,0.47,0.29,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12291,1.00,1.00,0.67,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12292,0.43,0.17,0.33,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12293,0.94,0.76,1.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12294,0.47,0.19,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
ID12295,0.76,0.54,0.67,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
ID12296,0.69,0.22,0.33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
ID12297,0.24,0.24,0.00,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
ID12298,0.69,0.75,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12299,0.16,0.16,0.67,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
ID12300,0.16,0.27,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12301,0.57,0.36,0.33,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
ID12302,0.57,0.63,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
ID12303,0.69,0.21,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12304,0.39,0.24,1.00,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
ID12305,0.08,0.13,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12306,0.00,0.16,0.00,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
ID12307,0.92,0.94,0.00,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12308,0.14,0.17,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12309,1.00,0.60,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12310,0.18,0.27,0.00,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
ID12311,0.88,0.33,0.00,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
ID12312,0.82,0.48,0.33,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
ID12313,0.08,0.16,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12314,0.20,0.14,0.33,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1
ID12315,0.10,0.08,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12316,0.18,0.22,0.00,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12317,0.18,0.17,0.00,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12318,0.45,0.46,1.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12319,0.43,0.46,0.00,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
ID12320,0.35,0.41,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12321,0.39,0.37,0.67,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
ID12322,0.59,0.64,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12323,0.49,0.59,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12324,1.00,0.66,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12325,0.80,0.77,1.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12326,0.59,0.39,0.00,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12327,1.00,0.78,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12328,0.78,0.34,0.00,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
ID12329,0.39,0.40,0.00,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
ID12330,0.18,0.13,0.00,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
ID12331,0.84,0.43,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
ID12332,0.27,0.41,0.33,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
ID12333,0.27,0.16,0.00,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
ID12334,0.29,0.44,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12335,0.80,0.63,1.00,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
ID12336,0.63,0.20,0.33,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
ID12337,0.96,0.81,0.67,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
ID12338,0.08,0.22,0.67,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12339,0.16,0.22,0.67,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ID12340,0.10,0.13,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12341,0.16,0.11,0.67,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0
ID12342,0.84,0.88,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12343,1.00,0.52,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12344,0.33,0.26,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12345,0.65,0.39,0.67,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12346,0.57,0.56,0.00,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12347,0.10,0.04,1.00,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
ID12348,0.16,0.28,0.00,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12349,0.45,0.26,1.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12350,0.37,0.28,1.00,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
ID12351,0.96,0.91,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
ID12352,0.55,0.53,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12353,0.10,0.16,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0
ID12354,0.49,0.22,0.33,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
ID12355,0.06,0.10,1.00,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0
ID12356,0.90,0.33,0.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12357,0.63,0.36,0.67,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
ID12358,0.20,0.32,0.67,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
